id,satker,id_indikator,peng_Feb,peng_Mar,peng_Apr,peng_Mei,peng_Jun,peng_Jul,peng_Ags,app_Feb,app_Mar,app_Apr,app_Mei,app_Jun,app_Jul,app_Ags,link_buktidukung,pj_approval
1,1100,1.a,,,,,,,,,,,,,,,,
2,1100,1.b,,,,,,,,,,,,,,,,
3,1100,1.c,,,,,,,,,,,,,,,,
4,1100,2.a,,,,,,,,,,,,,,,,
5,1100,2.b,,,,,,,,,,,,,,,,
6,1100,3,,,,,,,,,,,,,,,,
7,1100,4,,,,,,,,,,,,,,,,
8,1100,5,,,,,,,,,,,,,,,,
9,1100,6.a,,,,,,,,,,,,,,,,
10,1100,6.b,,,,,,,,,,,,,,,,
11,1100,6.c,,,,,,,,,,,,,,,,
12,1100,7,,,,,,,,,,,,,,,,
13,1100,8,,,,,,,,,,,,,,,,
14,1100,9,,,,,,,,,,,,,,,,
15,1100,10,,,,,,,,,,,,,,,,
16,1101,1.a,,,,,,,,,,,,,,,,
17,1101,1.b,,,,,,,,,,,,,,,,
18,1101,1.c,,,,,,,,,,,,,,,,
19,1101,2.a,,,,,,,,,,,,,,,,
20,1101,2.b,,,,,,,,,,,,,,,,
21,1101,3,,,,,,,,,,,,,,,,
22,1101,4,,,,,,,,,,,,,,,,
23,1101,5,,,,,,,,,,,,,,,,
24,1101,6.a,,,,,,,,,,,,,,,,
25,1101,6.b,,,,,,,,,,,,,,,,
26,1101,6.c,,,,,,,,,,,,,,,,
27,1101,7,,,,,,,,,,,,,,,,
28,1101,8,,,,,,,,,,,,,,,,
29,1101,9,,,,,,,,,,,,,,,,
30,1101,10,,,,,,,,,,,,,,,,
31,1102,1.a,,,,,,,,,,,,,,,,
32,1102,1.b,,,,,,,,,,,,,,,,
33,1102,1.c,,,,,,,,,,,,,,,,
34,1102,2.a,,,,,,,,,,,,,,,,
35,1102,2.b,,,,,,,,,,,,,,,,
36,1102,3,,,,,,,,,,,,,,,,
37,1102,4,,,,,,,,,,,,,,,,
38,1102,5,,,,,,,,,,,,,,,,
39,1102,6.a,,,,,,,,,,,,,,,,
40,1102,6.b,,,,,,,,,,,,,,,,
41,1102,6.c,,,,,,,,,,,,,,,,
42,1102,7,,,,,,,,,,,,,,,,
43,1102,8,,,,,,,,,,,,,,,,
44,1102,9,,,,,,,,,,,,,,,,
45,1102,10,,,,,,,,,,,,,,,,
46,1103,1.a,,,,,,,,,,,,,,,,
47,1103,1.b,,,,,,,,,,,,,,,,
48,1103,1.c,,,,,,,,,,,,,,,,
49,1103,2.a,,,,,,,,,,,,,,,,
50,1103,2.b,,,,,,,,,,,,,,,,
51,1103,3,,,,,,,,,,,,,,,,
52,1103,4,,,,,,,,,,,,,,,,
53,1103,5,,,,,,,,,,,,,,,,
54,1103,6.a,,,,,,,,,,,,,,,,
55,1103,6.b,,,,,,,,,,,,,,,,
56,1103,6.c,,,,,,,,,,,,,,,,
57,1103,7,,,,,,,,,,,,,,,,
58,1103,8,,,,,,,,,,,,,,,,
59,1103,9,,,,,,,,,,,,,,,,
60,1103,10,,,,,,,,,,,,,,,,
61,1104,1.a,,,,,,,,,,,,,,,,
62,1104,1.b,,,,,,,,,,,,,,,,
63,1104,1.c,,,,,,,,,,,,,,,,
64,1104,2.a,,,,,,,,,,,,,,,,
65,1104,2.b,,,,,,,,,,,,,,,,
66,1104,3,,,,,,,,,,,,,,,,
67,1104,4,,,,,,,,,,,,,,,,
68,1104,5,,,,,,,,,,,,,,,,
69,1104,6.a,,,,,,,,,,,,,,,,
70,1104,6.b,,,,,,,,,,,,,,,,
71,1104,6.c,,,,,,,,,,,,,,,,
72,1104,7,,,,,,,,,,,,,,,,
73,1104,8,,,,,,,,,,,,,,,,
74,1104,9,,,,,,,,,,,,,,,,
75,1104,10,,,,,,,,,,,,,,,,
76,1105,1.a,,,,,,,,,,,,,,,,
77,1105,1.b,,,,,,,,,,,,,,,,
78,1105,1.c,,,,,,,,,,,,,,,,
79,1105,2.a,,,,,,,,,,,,,,,,
80,1105,2.b,,,,,,,,,,,,,,,,
81,1105,3,,,,,,,,,,,,,,,,
82,1105,4,,,,,,,,,,,,,,,,
83,1105,5,,,,,,,,,,,,,,,,
84,1105,6.a,,,,,,,,,,,,,,,,
85,1105,6.b,,,,,,,,,,,,,,,,
86,1105,6.c,,,,,,,,,,,,,,,,
87,1105,7,,,,,,,,,,,,,,,,
88,1105,8,,,,,,,,,,,,,,,,
89,1105,9,,,,,,,,,,,,,,,,
90,1105,10,,,,,,,,,,,,,,,,
91,1106,1.a,,,,,,,,,,,,,,,,
92,1106,1.b,,,,,,,,,,,,,,,,
93,1106,1.c,,,,,,,,,,,,,,,,
94,1106,2.a,,,,,,,,,,,,,,,,
95,1106,2.b,,,,,,,,,,,,,,,,
96,1106,3,,,,,,,,,,,,,,,,
97,1106,4,,,,,,,,,,,,,,,,
98,1106,5,,,,,,,,,,,,,,,,
99,1106,6.a,,,,,,,,,,,,,,,,
100,1106,6.b,,,,,,,,,,,,,,,,
101,1106,6.c,,,,,,,,,,,,,,,,
102,1106,7,,,,,,,,,,,,,,,,
103,1106,8,,,,,,,,,,,,,,,,
104,1106,9,,,,,,,,,,,,,,,,
105,1106,10,,,,,,,,,,,,,,,,
106,1107,1.a,,,,,,,,,,,,,,,,
107,1107,1.b,,,,,,,,,,,,,,,,
108,1107,1.c,,,,,,,,,,,,,,,,
109,1107,2.a,,,,,,,,,,,,,,,,
110,1107,2.b,,,,,,,,,,,,,,,,
111,1107,3,,,,,,,,,,,,,,,,
112,1107,4,,,,,,,,,,,,,,,,
113,1107,5,,,,,,,,,,,,,,,,
114,1107,6.a,,,,,,,,,,,,,,,,
115,1107,6.b,,,,,,,,,,,,,,,,
116,1107,6.c,,,,,,,,,,,,,,,,
117,1107,7,,,,,,,,,,,,,,,,
118,1107,8,,,,,,,,,,,,,,,,
119,1107,9,,,,,,,,,,,,,,,,
120,1107,10,,,,,,,,,,,,,,,,
121,1108,1.a,,,,,,,,,,,,,,,,
122,1108,1.b,,,,,,,,,,,,,,,,
123,1108,1.c,,,,,,,,,,,,,,,,
124,1108,2.a,,,,,,,,,,,,,,,,
