id,kode_1,kode_2,kinerja,kegiatan,uraian_kegaitan,target,Feb,Mar,Apr,Mei,Jun,Jul,Ags
1,1,a,1.a,"Koordinasi dengan Kementerian/Lembaga/OPD/Asosiasi/Pengelola Usaha : Terlaksananya koordinasi dengan Kementerian/Lembaga (K/L), OPD, Asosiasi, Pengelola Usaha terkait dalam bentuk:",a. Surat dukungan Gubernur/Bupati/Walikota: 100%;,100,1,1,1,1,1,1,
2,1,b,1.b,,"b. Sosialisasi yang difasilitasi oleh K/L, OPD, Asosiasi, Pengelola Usaha: minimal 10 kali atau minimal 50% dari total K/L, OPD, Asosiasi, Pengelola Usaha; dan",10,1,1,1,1,1,1,
3,1,c,1.c,,"c. Ngisi Bareng (Ngibar): minimal 10 kali yang difasilitasi K/L, OPD, Asosiasi, Pengelola Usaha.",10,1,1,1,1,1,1,
4,2,a,2.a,Sosialisasi Sensus Ekonomi 2026,"a. Penayangan media luar ruang untuk sosialisasi SE2026 (spanduk, banner, videotron, dll) di setiap gedung pemerintahan dan fasilitas umum serta tempat lain hasil komunikasi, koordinasi, dan diplomasi (KKD), pada Februari s.d. April 2026, dan",10,1,1,1,,,,
5,2,b,2.b,,b. Pelibatan Influencer/Tokoh Berpengaruh/Tokoh Masyarakat dalam pelaksanaan Sosialisasi SE2026 pada Februari s.d. Juli 2026.,10,1,1,1,1,1,1,
6,3,,3,Pengadaan Perlengkapan Petugas dan Instrumen Pendataan,Tersedianya seluruh perlengkapan petugas dan instrumen pendataan sebesar 100% secara lengkap pada April 2026.,100,1,1,1,,,,
7,4,,4,Rekrutmen Petugas,"Tersedianya petugas pendataan minimum 95% dari seluruh unsur (Organik, PPPK, Mitra Umum, Mitra Khusus, dan Mahasiswa) paling lambat Minggu ke-2 (kedua) April 2026.",95,1,1,1,,,,
8,5,,5,Pelatihan Petugas,Terlaksananya pelatihan petugas di daerah paling lambat Minggu ke-2 (kedua) Mei 2026.,100,1,1,1,1,,,
9,6,a,6.a,Pelaksanaan Lapangan,"a.   Terlaksananya pendataan lapangan minimal 25% pada Mei 2026, minimal 75% pada Juni 2026, dan minimal 90% pada Juli 2026,",90,,,,1,1,1,
10,6,b,6.b,,"b.   Capaian di atas target akan menjadi perhatian khusus pimpinan, dan",100,,,,1,1,1,
11,6,c,6.c,,c.    Memastikan peran organik untuk melakukan pendataan Usaha Besar dengan target 100%.,100,,,,1,1,1,
12,7,,7,Monitoring Capaian Pendataan,"Tercapainya progres pendataan lapangan SE2026 minimal 10% pada Mei 2026, minimal 50% pada Juni 2026, dan minimal 90% pada Juli 2026.",90,,,,1,1,1,
13,8,,8,Penjaminan Kualitas,Terselesaikannya tindak lanjut temuan anomali dan ketidakwajaran hasil pendataan paling lambat 3 (tiga) hari setelah disampaikan.,100,,,,1,1,1,
14,9,,9,Inovasi,Minimal ada 1 (satu) inovasi yang dikembangkan untuk mendapatkan informasi terkait industri digital.,1,1,1,1,1,1,1,
15,10,,10,Peningkatan Peran,Provinsi secara penuh ikut terlibat langsung dalam proses pelaksanaan lapangan di ibukota provinsi dan/atau Kabupaten/Kota lain yang memiliki tantangan besar dalam pelaksanaan SE2026.,100,,,,1,1,1,
