id,kode_1,kode_2,kode_3,kode_4,kode_5,rencana_kerja,level,pengisian,pedoman,contoh_link
1,A.,,,,,A. PENGUNGKIT,1,0,,
2,A.,I.,,,,I. PEMENUHAN,2,0,,
3,A.,I.,I,,,I MANAJEMEN PERUBAHAN,3,0,,
4,A.,I.,I,i.,,i. Penyusunan Tim Kerja,4,0,,
5,A.,I.,I,i.,a.,a. Unit kerja telah membentuk tim untuk melakukan pembangunan Zona Integritas,5,1,(i) SK Tim Kerja Pembangunan ZI menuju WBK/WBBM Tahun.,http://s.bps.go.id/ManajemenPerubahan_1a_bps
6,A.,I.,I,i.,b.,b. Penentuan anggota Tim dipilih melalui prosedur/mekanisme yang jelas,5,1,"(i) Notulen/laporan pelaksanaan rapat pembentukan Tim Kerja yang telah disahkan oleh kepala satker;
(ii) Mekanisme yang menjelaskan tata cara pemilihan anggota Tim;
(iii) Kertas kerja penentuan anggota Tim Kerja",http://s.bps.go.id/ManajemenPerubahan_1b_bps
7,A.,I.,I,ii.,,ii. Rencana Pembangunan Zona Integritas,4,0,,
8,A.,I.,I,ii.,a.,a. Terdapat dokumen rencana kerja pembangunan Zona Integritas menuju WBK/WBBM,5,1,"(i) Dokumen rencana pembangunan ZI yang mencakup:
- Susunan Tim Pembangunan ZI;
- Target prioritas yang ingin dicapai (bisa berupa narasi atau penandaan pada tabel rencana kerja);
- Rencana kerja dan rencana aksi;
- Rencana dan realisasi timeline pelaksanaan pembangunan ZI;
- Legalisasi pimpinan.",http://s.bps.go.id/ManajemenPerubahan_2a_bps
9,A.,I.,I,ii.,b.,b. Dalam dokumen pembangunan terdapat target-target prioritas yang relevan dengan tujuan pembangunan WBK/WBBM,5,1,"(i) Dokumen rencana kerja pembangunan ZI yang
mencakup:
- Susunan Tim Pembangunan ZI;
- Target prioritas yang ingin dicapai (bisa berupa narasi atau penandaan pada tabel rencana kerja);
- Rencana kerja dan rencana aksi;
- Rencana dan realisasi timeline pelaksanaan pembangunan ZI;
- Legalisasi pimpinan.",http://s.bps.go.id/ManajemenPerubahan_2b_bps
10,A.,I.,I,ii.,c.,c. Terdapat mekanisme atau media untuk mensosialisasikan pembangunan WBK/WBBM,5,1,"(i) Laporan pelaksanaan sosialisasi yang mencakup sosialisasi offline dan online (screen capture website, media sosial, ataupun foto kegiatan terkait serta link terkait).",http://s.bps.go.id/ManajemenPerubahan_2c_bps
11,A.,I.,I,iii.,,iii. Pemantauan dan Evaluasi Pembangunan WBK/WBBM,4,0,,
12,A.,I.,I,iii.,a.,a. Seluruh kegiatan pembangunan sudah dilaksanakan sesuai dengan rencana,5,1,"(i) Dokumen rencana kerja pembangunan ZI;
(ii) Laporan pelaksanaan kegiatan pembangunan ZI.",http://s.bps.go.id/ManajemenPerubahan_3a_bps
13,A.,I.,I,iii.,b.,b. Terdapat monitoring dan evaluasi terhadap pembangunan Zona Integritas,5,1,"(i) Laporan monitoring dan evaluasi pelaksanaan kegiatan memuat analisa kendala, solusi, dan rencana tindak lanjut atas masing-masing rencana aksi;
(ii) Undangan, daftar hadir, dan notulen pelaksanaan rapat evaluasi.",http://s.bps.go.id/ManajemenPerubahan_3b_bps
14,A.,I.,I,iii.,c.,c. Hasil Monitoring dan Evaluasi telah ditindaklanjuti,5,1,"(i) Notulen/laporan monitoring dan evaluasi yang memuat rekomendasi;
(ii) Laporan hasil tindak lanjut rekomendasi;
(iii) Dokumentasi pelaksanaan tindak lanjut.",http://s.bps.go.id/ManajemenPerubahan_3c_bps
15,A.,I.,I,iv.,,iv. Perubahan pola pikir dan budaya kerja,4,0,,
16,A.,I.,I,iv.,a.,a. Pimpinan berperan sebagai role model dalam pelaksanaan Pembangunan WBK/WBBM,5,1,(i) Laporan tahunan penerapan nilai-nilai organisasi (BerAKHLAK) oleh pimpinan sebagai role model/change leader,http://s.bps.go.id/ManajemenPerubahan_4a_bps
17,A.,I.,I,iv.,b.,b. Sudah ditetapkan agen perubahan,5,1,"(i) SK Agen Perubahan satker tahun (Change Champion dan/ Change Ambassador);
(ii) Laporan agen perubahan satker tahun yang memuat penjelasan detail perubahan konkret dari program kerja agen perubahan.",http://s.bps.go.id/ManajemenPerubahan_4b_bps
18,A.,I.,I,iv.,c.,c. Telah dibangun budaya kerja dan pola pikir di lingkungan organisasi,5,1,"(i) Laporan penerapan budaya kerja
(ii) Matriks dampak penerapan perubahan budaya kerja dan pola pikir.",http://s.bps.go.id/ManajemenPerubahan_4c_bps
19,A.,I.,I,iv.,d.,d. Anggota organisasi terlibat dalam pembangunan Zona Integritas menuju WBK/WBBM,5,1,"(i) Dokumen pakta integritas seluruh pegawai;
(ii) Dokumen pelaksanaan rapat Monev ZI triwulanan;
(iii) Dokumen yang memuat usulan-usulan anggota dan tindak lanjutnya.
",http://s.bps.go.id/ManajemenPerubahan_4d_bps
20,A.,I.,II,iv.,d.,II PENATAAN TATALAKSANA,3,0,,
21,A.,I.,II,i.,,i. Prosedur Operasional Tetap (SOP) Kegiatan Utama,4,0,,
22,A.,I.,II,i.,a.,a. SOP mengacu pada peta proses bisnis instansi,5,1,"(i) Seluruh dokumen SOP Teknis dan Non Teknis/ Administrasi BPS Provinsi/Kabupaten/Kota yang ditandatangani kepala satuan kerja (Satker);
(ii) Dokumen SOP Inovasi BPS Provinsi/Kabupaten/Kota yang ditandatangani kepala satuan kerja (Satker).",http://s.bps.go.id/PenataanTatalaksana_1a_bps
23,A.,I.,II,i.,b.,b. Prosedur operasional tetap (SOP) telah diterapkan,5,1,"(i) Dokumen monitoring pelaksanaan penerapan SOP sesuai Perka BPS Nomor 19 Tahun 2013 tentang Pedoman Penyusunan Standar Operasional Prosedur Administrasi Pemerintah di Lingkungan BPS, halaman 47;
(ii) Dokumen SOP Inovasi BPS Provinsi/Kabupaten/Kota yang ditandatangani kepala satuan kerja (Satker).",http://s.bps.go.id/PenataanTatalaksana_1b_bps
24,A.,I.,II,i.,c.,c. Prosedur operasional tetap (SOP) telah dievaluasi,5,1,"(i) Bukti pelaksanaan rapat evaluasi SOP (Undangan, Daftar Hadir, Notulen);
(ii) Kertas kerja evaluasi SOP;
(iii)Dokumen SOP awal dan SOP perbaikan",http://s.bps.go.id/PenataanTatalaksana_1c_bps
25,A.,I.,II,ii.,,ii. Sistem Pemerintahan Berbasis Elektronik (SPBE),4,0,,
26,A.,I.,II,ii.,a.,a. Sistem pengukuran kinerja unit sudah menggunakan teknologi informasi,5,1,"(i) Daftar seluruh penerapan teknologi informasi yang digunakan satker terkait pengukuran kinerja unit (seperti Simonev, FRA, dan atau inovasi lainnya jika ada);
(ii) Dokumen Screenshot aplikasi terkait pengukuran kinerja unit dan sudah berjalan (Simonev, FRA, dll) yang dilengkapi dengan narasi penjelasan penggunaan/pemanfaatan aplikasi TI dalam pengukuran kinerja unit;
(iii)Inovasi dilengkapi dengan Laporan Pemanfaatan Aplikasi yang berisi latar belakang/alasan pengembangan aplikasi, pemanfaatan aplikasi tersebut (dilengkapi dengan screenshot aplikasi) serta buku pedoman penggunaan aplikasi.",http://s.bps.go.id/PenataanTatalaksana_2a_bps
